DSNY Storm # ,Date of Report ,Manhattan,Bronx,Brooklyn,Queens,Staten Island ,Total Tons 
Storm 1,12/22/2020 12:00:00 AM,243,1095,1552,2398,69,5357
Storm 1,12/23/2020 12:00:00 AM,41,685,884,2879,0,4489
Storm 1,12/23/2020 12:00:00 AM,0,42,202,645,0,889
Condition 5,01/20/2021 12:00:00 AM,16,234,542,960,62,1814
Condition 6,01/27/2021 12:00:00 AM,2060,5852,3557,10563,1155,23187
Condition 6,01/29/2021 12:00:00 AM,25,0,112,1225,325,1687
Storm 2,02/01/2021 12:00:00 AM,4170,5341,7964,9635,3222,30332
Storm 2,02/02/2021 12:00:00 AM,4916,7914,10118,13440,2090,38478
Storm 2,02/03/2021 12:00:00 AM,2430,3407,5680,5772,1855,19144
Storm 2,02/04/2021 12:00:00 AM,1295,2101,2505,4434,1052,11387
Storm 2,02/05/2021 12:00:00 AM,954,1355,1479,4153,520,8461
Storm 2,02/06/2021 12:00:00 AM,550,1461,1278,4227,180,7696
Storm 2,02/07/2021 12:00:00 AM,272,591,508,1051,102,2524
Storm 3,02/08/2021 12:00:00 AM,3330,4936,6590,13169,1668,29693
Storm 3,02/09/2021 12:00:00 AM,293,619,1076,3710,545,6243
Storm 3,02/10/2021 12:00:00 AM,15,276,606,1477,680,3054
Storm 4,02/11/2021 12:00:00 AM,1458,3187,3364,5433,1316,14758
Storm 4,02/12/2021 12:00:00 AM,806,1003,1685,2669,1358,7521
Storm 4,02/13/2021 12:00:00 AM,0,2,0,102,1761,1865
Storm 4,02/14/2021 12:00:00 AM,2399,4009,3343,8647,4997,23395
Storm 4,02/15/2021 12:00:00 AM,46,80,276,635,580,1617
Storm 4,02/16/2021 12:00:00 AM,0,0,231,866,374,1471
Storm 4,02/17/2021 12:00:00 AM,6,280,1116,560,69,2031
Storm 5,02/18/2021 12:00:00 AM,921,1220,2660,4292,311,9404
Storm 5,02/19/2021 12:00:00 AM,4170,6853,7364,12829,4111,35327
Storm 5,02/20/2021 12:00:00 AM,3130,4581,4273,6605,2346,20935
Storm 5,02/21/2021 12:00:00 AM,141,618,393,1261,1086,3499
Storm 5,02/22/2021 12:00:00 AM,0,24,80,100,12,216
Storm 6,02/23/2021 12:00:00 AM,145,942,614,1098,364,3163
Storm 6,02/24/2021 12:00:00 AM,64,140,328,391,31,954
Storm 6,02/25/2021 12:00:00 AM,0,58,378,382,0,818
Storm 6,02/26/2021 12:00:00 AM,0,65,84,223,0,372
Condition 13,03/19/2021 12:00:00 AM,0,289,55,648,0,992
Condition 1,11/28/2021 12:00:00 AM,152,553,767,710,300,2482
Condition 2,12/12/2021 12:00:00 AM,547,730,946,450,651,3324
Condition 3,12/28/2021 12:00:00 AM,0,12,330,264,550,1156
Condition 4,01/05/2022 12:00:00 AM,662,923,743,1364,1250,4942
Storm 1,01/07/2022 12:00:00 AM,4502,3199,6878,11433,2301,28313
Storm 1,01/08/2022 12:00:00 AM,2378,2800,5927,7511,2670,21286
Storm 1,01/09/2022 12:00:00 AM,1266,1439,4090,3064,2863,12722
Storm 1,01/10/2022 12:00:00 AM,117,557,1715,957,610,3956
Storm 1,01/11/2022 12:00:00 AM,0,476,1165,143,591,2375
Storm 1,01/12/2022 12:00:00 AM,0,26,0,48,11,85
Storm 2,01/17/2022 12:00:00 AM,3186,3013,5612,10152,2571,24534
Condition 8,01/20/2022 12:00:00 AM,2632,2765,6560,6544,2141,20642
Condition 9,01/24/2022 12:00:00 AM,1936,2705,2954,6185,755,14535
Storm 3,01/29/2022 12:00:00 AM,3150,4103,8863,9483,3443,29042
Storm 3,01/30/2022 12:00:00 AM,3974,6870,6783,5946,2895,26468
Storm 3,01/31/2022 12:00:00 AM,2310,4108,4011,4345,842,15616
Storm 3,02/01/2022 12:00:00 AM,241,521,1535,826,232,3355
Storm 3,02/02/2022 12:00:00 AM,138,615,678,269,1028,2728
Storm 3,02/03/2022 12:00:00 AM,18,582,248,280,325,1453
Storm 3,02/04/2022 12:00:00 AM,0,1586,1321,2050,322,5279
Storm 3,02/05/2022 12:00:00 AM,3321,4383,3335,3336,1230,15605
Storm 3,02/06/2022 12:00:00 AM,0,162,192,1500,162,2016
Storm 3,02/07/2022 12:00:00 AM,1160,1404,845,3165,137,6711
Storm 3,02/08/2022 12:00:00 AM,0,1541,1217,4510,550,7818
Storm 4,02/14/2022 12:00:00 AM,3660,4946,5361,6941,1709,22617
Condition 14,02/19/2022 12:00:00 AM,622,874,686,2311,130,4623
Condition 15,02/24/2022 12:00:00 AM,3186,3586,3841,5019,1516,17148
Condition 15,02/25/2022 12:00:00 AM,1930,1925,1519,469,0,5843
Condition 16,03/09/2022 12:00:00 AM,2358,2416,2133,5892,1917,14716
Storm 5,03/12/2022 12:00:00 AM,2460,3695,3455,4830,2060,16500
